step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
255.0,15,203.0,5.8,5.9708000429959815,15,227.0,0.35822100996421335,15,227.0
260.0,15,185.0,4.743589743589744,5.283704537568182,15,266.0,0.30274399841308575,15,266.0
265.0,10,170.0,4.473684210526316,6.108554737489148,10,260.0,0.3063790154680492,10,260.0
270.0,9,168.0,4.3076923076923075,5.871639295719573,9,269.0,0.28595445305580314,9,269.0
275.0,16,236.0,7.151515151515151,4.537812339157924,16,313.0,0.1789930305165843,16,313.0
280.0,13,267.0,7.026315789473684,4.88694981021762,13,353.0,0.2192165075248488,13,353.0
285.0,10,289.0,8.257142857142858,6.020990636889958,10,350.0,0.2609795522413269,10,350.0
290.0,8,324.0,7.902439024390244,8.235434512973471,8,341.0,0.4651724726609049,8,341.0
295.0,6,67.0,1.763157894736842,7.7758245918473765,6,260.0,0.4634513131856523,6,260.0
300.0,8,43.0,1.2285714285714286,6.453949496908831,8,60.0,0.32385568116654734,8,60.0
305.0,12,58.0,1.6111111111111112,5.506296067708244,12,94.0,0.24767492337341784,12,94.0
310.0,12,95.0,2.7941176470588234,6.012336899455269,12,125.0,0.2766086003103992,12,125.0
315.0,12,145.0,4.264705882352941,7.390993639132449,12,157.0,0.3227337465785769,12,157.0
320.0,7,99.0,3.09375,7.296716955860666,7,155.0,0.3487981699684919,7,155.0
325.0,11,146.0,4.5625,6.821495962730919,11,158.0,0.3613296858509078,11,158.0
330.0,11,174.0,5.4375,6.355009719423695,11,200.0,0.31219611530133523,11,200.0
335.0,7,195.0,6.09375,6.903645554365634,7,220.0,0.37044731874578324,7,220.0
340.0,10,100.0,3.225806451612903,5.4320602049328075,10,197.0,0.2523388777733863,10,197.0
345.0,13,150.0,4.838709677419355,5.962823205794937,13,177.0,0.2971710715023519,13,177.0
350.0,12,174.0,5.612903225806452,4.866982740926017,12,218.0,0.1853302196605587,12,218.0
355.0,10,196.0,6.32258064516129,6.772460623366836,10,227.0,0.33094557740373526,10,227.0
360.0,11,133.0,4.586206896551724,5.024154806655861,11,166.0,0.15623944363575798,11,166.0
365.0,16,204.0,5.513513513513513,6.184084024948631,16,237.0,0.3634928732271743,16,237.0
370.0,13,235.0,6.911764705882353,4.266353921230884,13,287.0,0.25810527399428923,13,287.0
375.0,16,280.0,7.368421052631579,4.918581866943175,16,310.0,0.24889500008105353,16,310.0
380.0,12,143.0,3.763157894736842,5.200673165394181,12,283.0,0.21162030047804742,12,283.0
385.0,13,165.0,4.342105263157895,5.750055404646179,13,218.0,0.2807949535542568,13,218.0
390.0,15,204.0,5.666666666666667,4.803197648075763,15,251.0,0.17806690987668522,15,251.0
395.0,12,242.0,6.722222222222222,5.7819210612192045,12,284.0,0.2547060410926829,12,284.0
400.0,11,97.0,2.5526315789473686,5.833936107457032,11,238.0,0.3253723558253156,11,238.0
405.0,15,164.0,4.4324324324324325,5.769831822805323,15,205.0,0.3173649981015581,15,205.0
410.0,18,199.0,5.2368421052631575,4.407627208790528,18,262.0,0.17018202297191093,18,262.0
415.0,15,231.0,6.243243243243243,5.248508533237466,15,295.0,0.25986299282638753,15,295.0
420.0,14,291.0,8.083333333333334,6.268316746551516,14,323.0,0.21410250537854225,14,323.0
425.0,10,187.0,5.054054054054054,5.705665813832519,10,309.0,0.2951413001164082,10,309.0
430.0,13,213.0,6.65625,5.400837239762772,13,263.0,0.2481402823364116,13,263.0
435.0,11,235.0,5.595238095238095,6.627308647327172,11,283.0,0.37011427039246914,11,283.0
440.0,9,265.0,6.794871794871795,7.74416480476152,9,299.0,0.46633961570628085,9,299.0
445.0,12,178.0,4.45,5.629808442440409,12,202.0,0.28640002885168003,12,202.0
450.0,21,267.0,7.628571428571429,4.344971637585736,21,291.0,0.1894589143994783,21,291.0
455.0,17,315.0,8.513513513513514,3.5642553593542585,17,364.0,0.16650481053618363,17,364.0
460.0,15,368.0,10.222222222222221,5.127673185151378,15,406.0,0.25730020629828837,15,406.0
465.0,11,309.0,7.923076923076923,6.086325713924792,11,394.0,0.2993640691646686,11,394.0
470.0,15,366.0,8.926829268292684,6.807278694459602,15,381.0,0.33158552403569447,15,381.0
475.0,15,398.0,10.205128205128204,5.829663622563334,15,436.0,0.2955269203072166,15,436.0
480.0,9,423.0,11.75,5.992589643832857,9,452.0,0.2951665221934033,9,452.0
485.0,15,478.0,12.91891891891892,5.558310386258009,15,507.0,0.25588179557594565,15,507.0
490.0,19,565.0,16.142857142857142,4.406011788251972,19,594.0,0.20031684689951365,19,594.0
495.0,18,614.0,17.055555555555557,3.374896267046574,18,662.0,0.16978419210771512,18,662.0
500.0,15,669.0,19.114285714285714,5.2226253778985505,15,694.0,0.26050788821293047,15,694.0
505.0,14,715.0,17.4390243902439,5.735044574220986,14,744.0,0.30342763008024676,14,744.0
510.0,21,806.0,19.19047619047619,5.515746908945762,21,835.0,0.328847941294372,21,835.0
515.0,18,858.0,21.45,3.0919613364989442,18,905.0,0.14191474352058592,18,905.0
520.0,21,921.0,21.928571428571427,4.408892372693484,21,963.0,0.21817040977557178,21,963.0
525.0,21,1012.0,24.095238095238095,3.9569793447486754,21,1048.0,0.13640536997257474,21,1048.0
530.0,26,1131.0,25.704545454545453,3.766516232985721,26,1167.0,0.15919667091785938,26,1167.0
535.0,30,1272.0,31.024390243902438,2.243562328549344,30,1309.0,0.08177376386827917,30,1309.0
540.0,34,1436.0,34.19047619047619,2.1192660026934735,34,1473.0,0.08720839792252985,34,1473.0
545.0,31,1495.0,31.80851063829787,2.6282452028387997,31,1585.0,0.13748197177765953,31,1585.0
550.0,24,1503.0,29.470588235294116,4.133160223635906,24,1639.0,0.1950360264768675,24,1639.0
555.0,24,1568.0,30.745098039215687,4.589734285698801,24,1662.0,0.14828522023121085,24,1662.0
560.0,20,863.0,16.92156862745098,4.6104718093941335,20,1480.0,0.21925257337332443,20,1480.0
565.0,16,209.0,4.354166666666667,4.521849801587356,16,1045.0,0.2070967170991117,16,1045.0
570.0,18,202.0,4.122448979591836,4.128052639596268,18,1103.0,0.2010010477926385,18,1103.0
575.0,28,318.0,7.395348837209302,2.006926611410625,28,1214.0,0.07510730735124894,28,1214.0
580.0,31,368.0,6.6909090909090905,4.309612667300092,31,1309.0,0.24363321832192042,31,1309.0
585.0,22,360.0,7.0588235294117645,3.707310325328553,22,1330.0,0.17280686998832068,22,1330.0
590.0,26,422.0,7.535714285714286,3.8086009061569968,26,1447.0,0.17068958139144483,26,1447.0
595.0,32,558.0,10.73076923076923,2.2687676357971602,32,1593.0,0.08910916906455997,32,1593.0
600.0,39,738.0,13.666666666666666,1.974620218567745,39,1773.0,0.07010607097352983,39,1773.0
605.0,37,851.0,15.472727272727273,1.9031442468449202,37,1894.0,0.060806140034308905,37,1894.0
610.0,32,906.0,16.178571428571427,3.1755411920495766,32,1933.0,0.14357435325017884,32,1933.0
615.0,26,735.0,12.049180327868852,3.9724867699939646,26,1858.0,0.1778025233142736,26,1858.0
620.0,28,837.0,14.186440677966102,3.0920529425259704,28,1948.0,0.1424184141716598,28,1948.0
625.0,32,948.0,16.06779661016949,1.9707893492773902,32,2044.0,0.07321920119913264,32,2044.0
630.0,29,1056.0,17.89830508474576,2.6291940337816486,29,2085.0,0.12501154331016545,29,2085.0
635.0,27,1182.0,19.7,3.952496321405448,27,2099.0,0.12561729319903972,27,2099.0
640.0,28,1317.0,21.59016393442623,5.2742436782402065,28,2168.0,0.21574734970353118,28,2168.0
645.0,24,1073.0,20.245283018867923,3.9844937148146733,24,1919.0,0.19499175586462097,24,1919.0
650.0,21,473.0,8.016949152542374,4.861335816697211,21,1411.0,0.2783357141234022,21,1411.0
655.0,17,93.0,1.55,4.27769503125435,17,1431.0,0.22311014012714472,17,1431.0
660.0,27,190.0,3.2758620689655173,3.005597434771426,27,1453.0,0.11876267761819269,27,1453.0
665.0,35,259.0,4.316666666666666,2.5325771671813317,35,1573.0,0.09105578176778802,35,1573.0
670.0,37,323.0,5.568965517241379,2.8262851128635096,37,1665.0,0.10871749359364444,37,1665.0
675.0,32,399.0,6.65,3.741797018698,32,1746.0,0.13715267278208465,32,1746.0
680.0,28,512.0,8.827586206896552,4.964801683584159,28,1832.0,0.21266365483379063,28,1832.0
685.0,24,471.0,7.721311475409836,5.125364285697181,24,1638.0,0.2466406387975956,24,1638.0
690.0,18,323.0,5.981481481481482,4.402871653834614,18,1216.0,0.21654908987625268,18,1216.0
695.0,18,157.0,2.8035714285714284,3.3153396382160625,18,1234.0,0.14646887150556986,18,1234.0
700.0,27,244.0,4.60377358490566,2.999021901225986,27,1244.0,0.11884300100697488,27,1244.0
705.0,38,411.0,7.339285714285714,3.637329780175493,38,1385.0,0.10894368563231946,38,1385.0
710.0,35,476.0,8.814814814814815,2.4219775278660403,35,1511.0,0.0630245348396487,35,1511.0
715.0,30,480.0,9.056603773584905,3.2465906416085417,30,1571.0,0.1426881154149437,30,1571.0
720.0,26,544.0,10.666666666666666,4.008160753614562,26,1572.0,0.13356633178865485,26,1572.0
725.0,24,631.0,10.344262295081966,6.350272798651506,24,1614.0,0.3308266262218483,24,1614.0
730.0,24,751.0,13.907407407407407,5.656515165197294,24,1678.0,0.24442935883592823,24,1678.0
735.0,31,891.0,16.5,5.202343185296974,31,1789.0,0.20041962458888934,31,1789.0
740.0,29,882.0,18.375,3.8090461198352004,29,1788.0,0.1535562714752336,29,1788.0
745.0,33,1035.0,21.122448979591837,3.2539258594647187,33,1933.0,0.13149409414298804,33,1933.0
750.0,32,1181.0,25.127659574468087,3.038368073439983,32,2088.0,0.13120750077049767,32,2088.0
755.0,31,1322.0,28.127659574468087,3.3350148967144944,31,2226.0,0.14332169179295912,31,2226.0
760.0,27,1088.0,20.528301886792452,4.4367192270983775,27,2023.0,0.21797534721632078,27,2023.0
765.0,24,594.0,11.20754716981132,4.018603307812466,24,1415.0,0.15794757513892324,24,1415.0
770.0,18,161.0,3.156862745098039,4.096762168195736,18,1412.0,0.20831063460159238,18,1412.0
775.0,18,138.0,2.6538461538461537,4.692218513668223,18,1329.0,0.2428717553136293,18,1329.0
780.0,26,256.0,5.224489795918367,4.127644820059801,26,1354.0,0.11971625755839642,26,1354.0
785.0,29,290.0,5.576923076923077,3.6958036007462423,29,1453.0,0.14345663148730997,29,1453.0
790.0,23,310.0,6.595744680851064,4.427043729050074,23,1502.0,0.1660335660019622,23,1502.0
795.0,22,399.0,7.254545454545455,6.239526071504599,22,1537.0,0.31140754977814084,22,1537.0
800.0,21,339.0,6.647058823529412,4.842839695698976,21,1352.0,0.2352444718990183,21,1352.0
805.0,18,184.0,3.4716981132075473,4.924725996097376,18,973.0,0.23285449275894274,18,973.0
810.0,17,95.0,1.9387755102040816,4.069454622915599,17,1017.0,0.19769620910305472,17,1017.0
815.0,24,201.0,4.1020408163265305,3.4809469344121338,24,1087.0,0.14143887144521353,24,1087.0
820.0,29,240.0,4.8979591836734695,3.403279498123412,29,1177.0,0.1335030713080155,29,1177.0
825.0,24,263.0,5.26,4.455829201582202,24,1212.0,0.19034996697015347,24,1212.0
830.0,21,338.0,6.5,5.650261415647074,21,1241.0,0.25362799187349727,21,1241.0
835.0,22,448.0,9.142857142857142,6.281056252717758,22,1305.0,0.29731120981666703,22,1305.0
840.0,19,378.0,8.217391304347826,4.1969995853554005,19,1153.0,0.1728046611755616,19,1153.0
845.0,17,211.0,4.795454545454546,4.504098895386875,17,813.0,0.22320716519479036,17,813.0
850.0,14,147.0,3.2666666666666666,4.326693275842879,14,840.0,0.20196023180727718,14,840.0
855.0,23,246.0,5.72093023255814,3.155289527802824,23,905.0,0.13998220068426104,23,905.0
860.0,27,290.0,6.444444444444445,3.6296460139976525,27,997.0,0.15444069330386087,27,997.0
865.0,22,316.0,6.723404255319149,4.852601140607738,22,1039.0,0.23674364093301078,22,1039.0
870.0,19,382.0,7.490196078431373,5.5237954769657245,19,1111.0,0.3010329601788019,19,1111.0
875.0,27,496.0,10.333333333333334,2.9213622840434064,27,1221.0,0.05679411629881048,27,1221.0
880.0,30,608.0,12.16,3.1705708199731486,30,1338.0,0.13745405997946575,30,1338.0
885.0,24,695.0,14.787234042553191,3.589692607235572,24,1404.0,0.12409743183547459,24,1404.0
890.0,22,621.0,12.176470588235293,4.2547849108204865,22,1349.0,0.18766985849423912,22,1349.0
895.0,29,753.0,16.369565217391305,2.714036826644317,29,1458.0,0.08948024115139512,29,1458.0
900.0,29,856.0,17.833333333333332,2.529619891358356,29,1569.0,0.10513633839719025,29,1569.0
905.0,25,944.0,18.88,3.858783006803273,25,1643.0,0.19079037592314332,25,1643.0
910.0,26,1056.0,19.555555555555557,5.196822084445433,26,1722.0,0.19594845126433577,26,1722.0
915.0,25,808.0,15.843137254901961,4.23053981803702,25,1551.0,0.17453004903462907,25,1551.0
920.0,21,369.0,7.38,4.5557874134118,21,1160.0,0.21150172114594815,21,1160.0
925.0,15,81.0,1.653061224489796,4.014372492123513,15,1064.0,0.180316296517541,15,1064.0
930.0,24,176.0,3.5918367346938775,4.4407209804812915,24,1091.0,0.20280643699462617,24,1091.0
935.0,28,207.0,4.5,2.553103692177939,28,1180.0,0.06140825495366069,28,1180.0
940.0,24,225.0,4.166666666666667,5.127203845898482,24,1233.0,0.2798721426126065,24,1233.0
945.0,21,288.0,5.538461538461538,5.193963512280927,21,1253.0,0.20702151297656904,21,1253.0
950.0,24,404.0,7.622641509433962,5.506425975327115,24,1324.0,0.22657471266524176,24,1324.0
955.0,25,370.0,7.872340425531915,4.30579105910913,25,1210.0,0.18610214241429904,25,1210.0
960.0,17,222.0,4.826086956521739,4.309994003940855,17,879.0,0.19781057727791684,17,879.0
965.0,16,102.0,2.217391304347826,4.717151401537812,16,804.0,0.22334346097719773,16,804.0
970.0,22,190.0,4.130434782608695,4.066357084523484,22,818.0,0.1664236393656021,22,818.0
975.0,27,227.0,4.63265306122449,4.108752309975579,27,896.0,0.2053123321039862,27,896.0
980.0,22,262.0,5.24,4.855659706975584,22,943.0,0.2358155815484988,22,943.0
985.0,21,303.0,6.183673469387755,4.136045047244872,21,1001.0,0.1724706354900862,21,1001.0
990.0,26,419.0,8.551020408163266,4.216793568153248,26,1098.0,0.17833782979679014,26,1098.0
995.0,26,513.0,11.152173913043478,3.228604697278135,26,1195.0,0.10814234178725224,26,1195.0
1000.0,22,591.0,12.3125,4.443157878351518,22,1249.0,0.198550793896267,22,1249.0
1005.0,21,695.0,15.444444444444445,5.280048478292462,21,1299.0,0.19468632910894373,21,1299.0
1010.0,22,802.0,15.72549019607843,6.6683698256203385,22,1393.0,0.3436218866233281,22,1393.0
1015.0,23,917.0,18.714285714285715,6.164245751251904,23,1508.0,0.29158711170163787,23,1508.0
1020.0,27,1043.0,23.704545454545453,4.323994623196888,27,1634.0,0.20024082339182958,27,1634.0
1025.0,25,826.0,19.209302325581394,3.2357352536504442,25,1481.0,0.16858782456308716,25,1481.0
1030.0,19,450.0,10.465116279069768,4.606378322889995,19,1106.0,0.22328443212561902,19,1106.0
1035.0,16,360.0,8.0,4.4949238891141965,16,1174.0,0.23568655592839843,16,1174.0
1040.0,22,456.0,10.363636363636363,4.669003674104876,22,1262.0,0.20950240723943672,22,1262.0
1045.0,26,355.0,7.395833333333333,4.735950499903386,26,1202.0,0.2234033952497263,26,1202.0
1050.0,28,494.0,10.977777777777778,4.221401072385968,28,1300.0,0.20362038300448881,28,1300.0
1055.0,28,377.0,8.195652173913043,2.5591974480222466,28,1335.0,0.10846689477705636,28,1335.0
1060.0,26,436.0,9.688888888888888,4.062090651641986,26,1316.0,0.19887979393136526,26,1316.0
1065.0,28,571.0,11.895833333333334,4.768205180282631,28,1377.0,0.15073710455368433,28,1377.0
1070.0,24,591.0,13.133333333333333,3.443478106542624,24,1470.0,0.11746302941588366,24,1470.0
1075.0,21,655.0,14.555555555555555,4.877464638541228,21,1511.0,0.2225363681277909,21,1511.0
1080.0,21,760.0,18.095238095238095,4.87458150877397,21,1570.0,0.14390153714225803,21,1570.0
1085.0,19,571.0,11.653061224489797,5.465795256143263,19,1387.0,0.30597416584740295,19,1387.0
1090.0,15,196.0,4.355555555555555,5.104619403396508,15,854.0,0.2274529787951383,15,854.0
1095.0,14,77.0,1.6041666666666667,4.783107535393211,14,878.0,0.22401967195987366,14,878.0
1100.0,21,168.0,4.097560975609756,3.421729345223931,21,942.0,0.14773729141342382,21,942.0
1105.0,25,179.0,3.8085106382978724,3.5259451718584383,25,1019.0,0.15449638470852303,25,1019.0
1110.0,20,207.0,4.813953488372093,3.9709202985482905,20,1064.0,0.16456429333873926,20,1064.0
1115.0,20,289.0,6.4222222222222225,4.410654902114828,20,1134.0,0.21011489571896755,20,1134.0
1120.0,25,404.0,8.595744680851064,4.260521129124775,25,1249.0,0.20385476984369122,25,1249.0
1125.0,26,491.0,10.229166666666666,3.1850724910054544,26,1336.0,0.15429061288504503,26,1336.0
1130.0,24,578.0,12.297872340425531,3.9131848099889344,24,1394.0,0.16510701182074777,24,1394.0
1135.0,24,693.0,13.86,5.643481784835079,24,1478.0,0.24150266069194956,24,1478.0
1140.0,24,813.0,18.477272727272727,5.043779021845864,24,1583.0,0.16874584215400826,24,1583.0
1145.0,21,641.0,13.638297872340425,4.704240075218438,21,1410.0,0.20589786671773547,21,1410.0
1150.0,16,283.0,6.902439024390244,5.235694031999332,16,1001.0,0.2411871011800819,16,1001.0
1155.0,12,212.0,4.24,6.042090924397135,12,941.0,0.3439263852304932,12,941.0
1160.0,17,276.0,6.133333333333334,5.890492727081659,17,990.0,0.32754936850546923,17,990.0
1165.0,24,243.0,4.959183673469388,4.1228351118779605,24,957.0,0.19199287230827938,24,957.0
1170.0,31,384.0,8.533333333333333,3.5484687351383197,31,1098.0,0.1437714745379213,31,1098.0
1175.0,27,346.0,7.521739130434782,3.037706306588174,27,1162.0,0.14349029933566992,27,1162.0
1180.0,28,458.0,10.409090909090908,3.747220366565495,28,1196.0,0.1827667266044429,28,1196.0
1185.0,31,602.0,12.541666666666666,3.9886725619253682,31,1316.0,0.1351839149915251,31,1316.0
1190.0,27,620.0,12.4,4.0407980508833585,27,1415.0,0.218327777495541,27,1415.0
1195.0,21,616.0,12.571428571428571,4.546173059114979,21,1428.0,0.2082037222624782,21,1428.0
1200.0,23,717.0,14.9375,5.432897139422892,23,1457.0,0.20894372927037883,23,1457.0
1205.0,21,541.0,11.51063829787234,4.445158839607583,21,1286.0,0.20095496947076588,21,1286.0
1210.0,17,181.0,4.022222222222222,4.665853776759131,17,902.0,0.20811552635784197,17,902.0
1215.0,14,93.0,2.0217391304347827,4.617282781027513,14,841.0,0.23319007643128506,14,841.0
1220.0,23,192.0,4.363636363636363,4.142113659978389,23,917.0,0.17063345386879866,23,917.0
