step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.813745372977687,0,0.0,0.9427775872748034,0,0.0
10.0,0,0.0,0.0,12.296178309835284,0,0.0,0.9083488845943658,0,0.0
15.0,1,1.0,0.05555555555555555,6.059326691938557,1,1.0,0.419931474358643,1,1.0
20.0,7,34.0,1.8888888888888888,7.330874102329728,7,34.0,0.3949638663213633,7,34.0
25.0,8,55.0,2.391304347826087,6.1571198181942455,8,55.0,0.3618396435276948,8,55.0
30.0,11,107.0,5.631578947368421,4.4013270776449955,11,107.0,0.27916471454305036,11,107.0
35.0,14,167.0,7.260869565217392,4.344525232719536,14,167.0,0.26593344313585804,14,167.0
40.0,17,244.0,8.714285714285714,3.980832373566519,17,244.0,0.2709596746327867,17,244.0
45.0,19,280.0,9.03225806451613,3.654265512631677,19,280.0,0.2713213580017069,19,280.0
50.0,12,167.0,5.0606060606060606,3.9526916226246187,12,280.0,0.21718672138729617,12,280.0
55.0,12,202.0,5.45945945945946,6.736558319718281,12,250.0,0.3164703384323007,12,250.0
60.0,12,262.0,7.9393939393939394,7.109409574914511,12,263.0,0.25780104873637283,12,263.0
65.0,13,303.0,8.911764705882353,5.358917546789111,13,304.0,0.25547733102160786,13,304.0
70.0,16,348.0,12.0,4.157555249263424,16,349.0,0.17615247268452486,16,349.0
75.0,19,418.0,10.717948717948717,5.4782594187519225,19,418.0,0.3444854891628377,19,418.0
80.0,12,439.0,11.864864864864865,6.195839764984979,12,475.0,0.38485512232212665,12,475.0
85.0,15,507.0,12.365853658536585,6.284835547563449,15,510.0,0.30841038915375407,15,510.0
90.0,21,453.0,11.921052631578947,4.375210648078449,21,456.0,0.18192335371502139,21,456.0
95.0,15,108.0,2.8421052631578947,4.73857468539689,15,309.0,0.22715662972019618,15,309.0
100.0,15,119.0,3.2162162162162162,4.6280482825596465,15,352.0,0.25531561452520907,15,352.0
105.0,22,213.0,5.325,3.7113183054750847,22,446.0,0.163908541879592,22,446.0
110.0,27,304.0,7.414634146341464,3.622110501682519,27,534.0,0.24150307269309054,27,534.0
115.0,19,268.0,6.536585365853658,4.086897586606178,19,588.0,0.24784722477622603,19,588.0
120.0,18,341.0,7.930232558139535,5.200174705354412,18,603.0,0.22430443837613487,18,603.0
125.0,22,445.0,10.348837209302326,5.680574439290677,22,680.0,0.2346052186030727,22,680.0
130.0,22,469.0,11.166666666666666,4.041096217853948,22,704.0,0.1461105403851062,22,704.0
135.0,21,450.0,11.25,3.8756270511837725,21,714.0,0.18143224681596323,21,714.0
140.0,27,556.0,13.9,3.2299099090084384,27,817.0,0.1324750460400382,27,817.0
145.0,22,615.0,14.30232558139535,4.272320604647168,22,906.0,0.21849077127195743,22,906.0
150.0,19,616.0,13.106382978723405,5.376744272303128,19,813.0,0.31310740887021826,19,813.0
155.0,17,223.0,5.068181818181818,4.363914064484569,17,738.0,0.21908100425152752,17,738.0
160.0,20,141.0,3.0,5.252623902220409,20,455.0,0.2424232204963959,20,455.0
165.0,21,245.0,5.444444444444445,5.139949710598001,21,342.0,0.15099558076616962,21,342.0
170.0,25,342.0,7.434782608695652,4.222989514250583,25,439.0,0.1700736939134078,25,439.0
175.0,30,484.0,11.523809523809524,2.551601889197156,30,581.0,0.05977068701959556,30,581.0
