step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.306184247375478,0,0.0,0.8631139739820745,0,0.0
10.0,0,0.0,0.0,11.579749674773344,0,0.0,0.814691331184565,0,0.0
15.0,6,9.0,0.5,7.90195957387967,6,9.0,0.42996127576715265,6,9.0
20.0,8,47.0,2.611111111111111,7.538079764341897,8,47.0,0.40409450521833296,8,47.0
25.0,9,88.0,4.4,6.732181775730178,9,88.0,0.3533234625611234,9,88.0
30.0,8,105.0,5.25,6.816072124107076,8,105.0,0.396328350471412,8,105.0
35.0,8,127.0,6.0476190476190474,6.0762468637395095,8,127.0,0.3287893643177289,8,127.0
40.0,9,125.0,4.8076923076923075,7.707818121541984,9,125.0,0.47638067456841565,9,125.0
45.0,8,113.0,4.035714285714286,7.217718382831204,8,113.0,0.40366517028370186,8,113.0
50.0,11,137.0,5.074074074074074,4.986196716676604,11,137.0,0.27077567673321934,11,137.0
55.0,9,130.0,4.642857142857143,5.639936296444853,9,155.0,0.3249668131764539,9,155.0
60.0,10,176.0,6.518518518518518,7.215487359125672,10,176.0,0.2814801298096404,10,176.0
65.0,11,202.0,6.733333333333333,5.982410948023359,11,202.0,0.2983562255003636,11,202.0
70.0,13,233.0,9.32,4.988812438901967,13,233.0,0.2407078950837273,13,233.0
75.0,13,279.0,7.9714285714285715,5.761073071362428,13,279.0,0.36058640185375873,13,279.0
80.0,9,292.0,9.125,6.949121896593262,9,307.0,0.4634785657599414,9,307.0
85.0,10,338.0,9.135135135135135,6.825240102380604,10,338.0,0.3620806624382342,10,338.0
90.0,17,413.0,11.8,6.554653209353951,17,413.0,0.2410347270566144,17,413.0
95.0,18,499.0,14.257142857142858,5.473317013165586,18,499.0,0.23978444429841178,18,499.0
100.0,19,592.0,18.5,4.828642367164111,19,592.0,0.21759821245596148,19,592.0
105.0,19,687.0,20.818181818181817,4.725790251289894,19,687.0,0.25163642890462606,19,687.0
110.0,21,788.0,21.88888888888889,5.15757365690403,21,788.0,0.290191180806033,21,788.0
115.0,19,751.0,20.2972972972973,4.953582967663567,19,751.0,0.30024829802924957,19,751.0
120.0,16,436.0,11.783783783783784,4.042291433415793,16,705.0,0.20619671135055934,16,705.0
125.0,16,495.0,12.692307692307692,6.082583710683088,16,548.0,0.28842136456982537,16,548.0
130.0,20,583.0,14.948717948717949,6.001871409471416,20,585.0,0.2252662732841173,20,585.0
135.0,19,586.0,15.025641025641026,4.995332484770232,19,586.0,0.19890996764015428,19,586.0
140.0,18,523.0,14.942857142857143,4.752840753794928,18,583.0,0.2321836699495728,18,583.0
145.0,24,573.0,14.692307692307692,4.047917704278408,24,633.0,0.18927956764658488,24,633.0
150.0,16,496.0,12.097560975609756,5.715997042130387,16,680.0,0.36182999056449916,16,680.0
155.0,12,530.0,13.25,5.701710307767695,12,642.0,0.2355579129926398,12,642.0
160.0,19,319.0,7.595238095238095,4.669416765642681,19,431.0,0.23720991621281887,19,431.0
165.0,22,262.0,6.894736842105263,3.270796307327973,22,383.0,0.13460504962233022,22,383.0
170.0,27,369.0,8.785714285714286,3.7308067501595197,27,457.0,0.15898509348184098,27,457.0
175.0,18,397.0,9.925,3.3582828841748933,18,532.0,0.1084566000079673,18,532.0
180.0,17,397.0,9.925,3.3468303500962238,17,512.0,0.1540471609218938,17,512.0
185.0,18,318.0,7.2272727272727275,4.520147527367064,18,499.0,0.23064349121217176,18,499.0
190.0,26,434.0,9.434782608695652,4.5683592576836,26,521.0,0.19999036577332274,26,521.0
195.0,30,540.0,11.73913043478261,2.68437131336662,30,598.0,0.06201415301378593,30,598.0
200.0,25,541.0,12.295454545454545,3.135475560850087,25,693.0,0.1581888362706988,25,693.0
205.0,21,559.0,12.422222222222222,4.265362002614514,21,711.0,0.1569204924138766,21,711.0
210.0,17,626.0,13.319148936170214,6.260722257019488,17,709.0,0.2712252878714652,17,709.0
215.0,19,714.0,17.0,6.303682969875612,19,735.0,0.22463816834558048,19,735.0
220.0,19,809.0,17.21276595744681,7.4909363458861025,19,809.0,0.40768435299770917,19,809.0
225.0,19,725.0,16.86046511627907,5.584177133510514,19,725.0,0.2900668799323823,19,725.0
230.0,15,221.0,5.0227272727272725,4.259839906324408,15,648.0,0.22295934550968352,15,648.0
235.0,17,202.0,4.926829268292683,5.377962748547619,17,379.0,0.23741345331399752,17,379.0
240.0,19,291.0,6.767441860465116,6.114304980875191,19,339.0,0.25569299747091057,19,339.0
245.0,21,394.0,9.609756097560975,5.18716409112404,21,394.0,0.149670720068519,21,394.0
250.0,23,403.0,10.075,4.411090910201122,23,403.0,0.180391916588421,23,403.0
255.0,19,364.0,9.1,4.7890279479787425,19,423.0,0.2651207363050785,19,423.0
260.0,23,403.0,9.829268292682928,4.698284066792261,23,441.0,0.2679726303125895,23,441.0
265.0,14,207.0,5.048780487804878,4.263436365256946,14,402.0,0.1750665974546777,14,402.0
270.0,14,162.0,3.857142857142857,6.044066315557335,14,367.0,0.2739130279991294,14,367.0
275.0,12,218.0,5.589743589743589,6.7159869530149665,12,307.0,0.24768616271076055,12,307.0
280.0,14,243.0,6.230769230769231,6.094472570494199,14,294.0,0.3376913770253677,14,294.0
285.0,14,250.0,7.352941176470588,4.32441934955206,14,328.0,0.21297639796335063,14,328.0
290.0,21,325.0,7.738095238095238,5.004616755077483,21,369.0,0.2761241041133248,21,369.0
295.0,15,343.0,8.365853658536585,5.9717572798109195,15,423.0,0.37159327336057524,15,423.0
300.0,13,386.0,9.414634146341463,5.386070330425799,13,429.0,0.22645930789559757,13,429.0
305.0,19,469.0,10.659090909090908,6.695853436548517,19,490.0,0.2986593224706989,19,490.0
310.0,19,564.0,14.461538461538462,6.004833319194536,19,578.0,0.2095863644598501,19,578.0
315.0,21,668.0,17.128205128205128,6.089735917300918,21,682.0,0.21276471511194825,21,682.0
320.0,21,773.0,22.085714285714285,4.92251713032351,21,787.0,0.23087836868939668,21,787.0
325.0,23,883.0,25.228571428571428,4.500792171708981,23,897.0,0.2431934402164875,23,897.0
330.0,21,847.0,22.89189189189189,4.742508091574299,21,861.0,0.2729880267075948,21,861.0
335.0,16,488.0,12.842105263157896,4.0488793776137655,16,761.0,0.20297516331610657,16,761.0
340.0,17,535.0,13.717948717948717,5.570791837880364,17,662.0,0.2538196541661018,17,662.0
345.0,18,394.0,9.609756097560975,4.483758333304003,18,486.0,0.18741003425502148,18,486.0
350.0,24,414.0,11.18918918918919,3.290171690730593,24,506.0,0.14196431707090268,24,506.0
355.0,27,526.0,13.487179487179487,3.4786337188121026,27,571.0,0.17157109894301048,27,571.0
360.0,23,590.0,15.945945945945946,2.538318294274911,23,641.0,0.0714218718510816,23,641.0
365.0,25,713.0,15.170212765957446,5.942519988271403,25,727.0,0.30427776444573956,25,727.0
370.0,23,689.0,15.311111111111112,4.023339654393538,23,689.0,0.15801018373441955,23,689.0
375.0,23,457.0,9.934782608695652,3.8056004681700712,23,672.0,0.1868906567824103,23,672.0
380.0,26,491.0,11.418604651162791,2.5107633888214576,26,640.0,0.07572660113390904,26,640.0
385.0,24,259.0,5.51063829787234,3.809819264524268,24,680.0,0.17214806038454405,24,680.0
390.0,20,190.0,4.318181818181818,4.357690292297736,20,571.0,0.13055950876004951,20,571.0
395.0,14,186.0,4.2272727272727275,3.9501069612889053,14,547.0,0.1815158644778557,14,547.0
400.0,14,158.0,3.4347826086956523,4.611403465023187,14,506.0,0.2615374252327117,14,506.0
405.0,20,248.0,5.166666666666667,5.245047822810492,20,532.0,0.26301594919673,20,532.0
410.0,27,343.0,7.297872340425532,2.8174874247142965,27,567.0,0.07544473125213332,27,567.0
415.0,27,359.0,7.638297872340425,3.3813102164915745,27,623.0,0.15686275820135626,27,623.0
420.0,22,395.0,8.777777777777779,3.686426467808173,22,549.0,0.07868028677983957,22,549.0
425.0,17,435.0,9.0625,6.084518878354395,17,562.0,0.2912456658907062,17,562.0
430.0,15,502.0,11.409090909090908,6.435427194580649,15,567.0,0.2767271382924367,15,567.0
435.0,17,585.0,11.938775510204081,7.78077045903732,17,610.0,0.47310296031575616,17,610.0
440.0,17,670.0,15.227272727272727,6.993149973250346,17,674.0,0.4074121666280068,17,674.0
445.0,17,617.0,13.71111111111111,4.658552215892798,17,617.0,0.24435489213365852,17,617.0
450.0,18,319.0,7.4186046511627906,4.588459477799567,18,542.0,0.20854571448565692,18,542.0
455.0,18,394.0,9.380952380952381,5.080355187940887,18,444.0,0.2048634399888029,18,444.0
460.0,22,499.0,11.880952380952381,5.774423829095975,22,499.0,0.21094807525888767,22,499.0
465.0,22,430.0,10.487804878048781,4.309177760494424,22,430.0,0.18476890723446052,22,430.0
470.0,23,502.0,11.674418604651162,4.6368164541572785,23,502.0,0.2413526668517882,23,502.0
475.0,25,569.0,14.225,4.092648463917397,25,569.0,0.22425561457622734,25,569.0
480.0,16,433.0,10.560975609756097,3.750863124671962,16,589.0,0.1427085621345945,16,589.0
485.0,16,284.0,6.761904761904762,3.9025700710645492,16,497.0,0.17913092673176667,16,497.0
490.0,12,87.0,2.0714285714285716,4.598635768325042,12,407.0,0.2151571020440211,12,407.0
495.0,18,161.0,3.744186046511628,4.858764476610335,18,384.0,0.16453817523028558,18,384.0
500.0,24,244.0,5.809523809523809,3.7690125152425558,24,420.0,0.11883268354732393,24,420.0
505.0,22,224.0,5.090909090909091,4.485010763117695,22,457.0,0.21607230604303773,22,457.0
510.0,14,229.0,4.978260869565218,6.362615709358306,14,370.0,0.3398657960593104,14,370.0
515.0,9,236.0,5.2444444444444445,6.873003233137455,9,341.0,0.2851660691942443,9,341.0
520.0,16,305.0,6.931818181818182,6.693968625986775,16,357.0,0.299252720618862,16,357.0
525.0,17,390.0,10.263157894736842,6.680297291126945,17,408.0,0.2944092652722646,17,408.0
530.0,19,480.0,11.707317073170731,6.986325910983812,19,488.0,0.29226777289752726,19,488.0
535.0,17,444.0,13.058823529411764,5.247195765409378,17,452.0,0.1994847105498583,17,452.0
540.0,13,188.0,5.529411764705882,4.891480940886775,13,413.0,0.21060926515829406,13,413.0
545.0,12,244.0,6.777777777777778,7.614045802117136,12,279.0,0.4092072314007384,12,279.0
550.0,15,309.0,8.131578947368421,6.802020065687217,15,317.0,0.28859864932503165,15,317.0
555.0,18,307.0,9.029411764705882,4.188931268704817,18,307.0,0.16752983729969856,18,307.0
560.0,15,248.0,7.085714285714285,5.565879707453493,15,303.0,0.2582835867925918,15,303.0
565.0,17,278.0,8.424242424242424,3.605425258777209,17,333.0,0.11560247517185666,17,333.0
570.0,14,175.0,5.147058823529412,5.085920060403852,14,334.0,0.25443951875188325,14,334.0
575.0,9,200.0,6.25,5.7481810924847805,9,300.0,0.16186424189524537,9,300.0
580.0,11,252.0,6.146341463414634,9.089188998640749,11,314.0,0.502281491987635,11,314.0
585.0,11,307.0,8.771428571428572,9.151241624670817,11,362.0,0.4654799030913868,11,362.0
590.0,15,366.0,10.457142857142857,6.1041738918387205,15,421.0,0.2413487824277422,15,421.0
595.0,19,459.0,15.3,4.803555932948151,19,514.0,0.225621342445577,19,514.0
600.0,20,556.0,17.93548387096774,4.053160816551305,20,611.0,0.2044620911514395,20,611.0
605.0,21,661.0,21.322580645161292,4.158075531868975,21,716.0,0.21118489437561938,21,716.0
610.0,20,581.0,16.6,3.147218344055401,20,636.0,0.14749587196539574,20,636.0
615.0,23,648.0,17.513513513513512,4.469021454620241,23,703.0,0.2732702038765232,23,703.0
620.0,21,644.0,15.707317073170731,4.2917697410701425,21,699.0,0.2522472233412427,21,699.0
625.0,19,464.0,11.317073170731707,3.973229316745377,19,700.0,0.20816355070217793,19,700.0
630.0,20,559.0,13.0,4.872264464594529,20,641.0,0.22994604120761278,20,641.0
635.0,22,529.0,12.595238095238095,4.22152614402523,22,558.0,0.1636669362929128,22,558.0
640.0,19,257.0,6.119047619047619,4.138124805670309,19,533.0,0.20973673257373676,19,533.0
645.0,22,281.0,7.205128205128205,3.0344501751538346,22,571.0,0.13101491487338685,22,571.0
650.0,22,153.0,3.3260869565217392,4.551617242254785,22,587.0,0.2696525363923369,22,587.0
655.0,15,179.0,3.8085106382978724,6.572305670416817,15,565.0,0.35407768508240234,15,565.0
660.0,17,227.0,4.934782608695652,4.345257409876569,17,491.0,0.2108699744814844,17,491.0
665.0,18,220.0,4.888888888888889,3.9870783122345315,18,485.0,0.20491701181348673,18,485.0
670.0,24,321.0,7.133333333333334,3.7758543260143775,24,440.0,0.1013686713225969,24,440.0
675.0,31,432.0,9.191489361702128,3.814766401169035,31,519.0,0.13063830441653665,31,519.0
680.0,24,440.0,10.232558139534884,3.110432465224844,24,577.0,0.12317121348036252,24,577.0
685.0,18,469.0,9.97872340425532,5.323720046843064,18,585.0,0.24785607411332347,18,585.0
690.0,17,550.0,11.702127659574469,6.844732357759313,17,619.0,0.3288420909738458,17,619.0
695.0,18,518.0,11.511111111111111,5.341392001245471,18,565.0,0.27916300471578964,18,565.0
700.0,17,184.0,4.487804878048781,3.402863918658974,17,530.0,0.1420945417453874,17,530.0
705.0,22,252.0,5.8604651162790695,4.659535837322,22,368.0,0.1922247329618961,22,368.0
710.0,22,362.0,8.227272727272727,4.563090518556899,22,413.0,0.14351143511064887,22,413.0
715.0,26,451.0,10.25,4.107362180725173,26,485.0,0.1600441072430554,26,485.0
720.0,18,380.0,10.0,3.4265551009748036,18,540.0,0.09782499466626904,18,540.0
725.0,13,367.0,7.978260869565218,6.774710615040391,13,503.0,0.37360441689614815,13,503.0
730.0,12,335.0,7.613636363636363,5.351414328540067,12,472.0,0.2694870463780483,12,472.0
735.0,16,245.0,5.326086956521739,4.313415767298714,16,448.0,0.21308190635733598,16,448.0
740.0,23,200.0,4.761904761904762,2.7144100964644085,23,369.0,0.098630000641389,23,369.0
745.0,31,321.0,6.978260869565218,3.3378740691523916,31,490.0,0.14377589702789156,31,490.0
750.0,31,441.0,10.255813953488373,1.769398079944901,31,577.0,0.0544505073900473,31,577.0
755.0,26,411.0,8.934782608695652,2.914891688817581,26,650.0,0.12138500635895913,26,650.0
760.0,21,400.0,8.0,4.9448372917932275,21,625.0,0.21973219973923858,21,625.0
765.0,15,435.0,8.877551020408163,6.229003715369067,15,620.0,0.3253973190354246,15,620.0
770.0,19,517.0,10.770833333333334,6.311024555197353,19,612.0,0.28763384734328035,19,612.0
775.0,20,506.0,10.76595744680851,5.587600108304846,20,584.0,0.27095119198986245,20,584.0
780.0,17,273.0,6.658536585365853,3.4992950537088694,17,567.0,0.1414433361785514,17,567.0
785.0,21,349.0,7.931818181818182,4.901778307648498,21,469.0,0.21033132350430483,21,469.0
790.0,24,367.0,8.534883720930232,3.6506021406329,24,453.0,0.10577475967978096,24,453.0
795.0,23,243.0,4.86,5.10706019941962,23,442.0,0.3084334651488877,23,442.0
800.0,25,321.0,6.978260869565218,4.602364431821963,25,453.0,0.26134575545429556,25,453.0
805.0,20,211.0,4.3061224489795915,4.167220298489992,20,499.0,0.2193642719029869,20,499.0
810.0,20,181.0,3.9347826086956523,3.948613287171265,20,482.0,0.14395039914141963,20,482.0
815.0,18,259.0,5.285714285714286,6.166752449150326,18,474.0,0.2719734300061028,18,474.0
820.0,17,308.0,7.0,5.352243940780682,17,447.0,0.24951946571463524,17,447.0
825.0,18,314.0,7.476190476190476,4.0312955134565245,18,473.0,0.20593761581066797,18,473.0
830.0,26,389.0,8.456521739130435,3.6710066234169734,26,533.0,0.19595947693770868,26,533.0
835.0,32,536.0,11.404255319148936,3.6058348307874972,32,680.0,0.17608544905180912,32,680.0
840.0,33,663.0,14.733333333333333,2.128076447432428,33,778.0,0.1199422207291833,33,778.0
845.0,29,647.0,13.76595744680851,2.537420765806542,29,852.0,0.12741717993918178,29,852.0
850.0,22,663.0,13.53061224489796,3.901220009503724,22,875.0,0.11742799893980439,22,875.0
855.0,22,759.0,15.18,5.604925368361222,22,909.0,0.2378862153719973,22,909.0
860.0,21,726.0,15.446808510638299,4.710167620071496,21,837.0,0.2071458069463888,21,837.0
865.0,17,281.0,5.854166666666667,4.152741383688675,17,785.0,0.2277023053054305,17,785.0
870.0,17,262.0,5.137254901960785,5.933023442653187,17,537.0,0.3364354304736743,17,537.0
875.0,21,364.0,7.428571428571429,4.9988757927184135,21,511.0,0.21994617669721964,21,511.0
880.0,29,496.0,9.72549019607843,4.469969347755528,29,591.0,0.16932894522315778,29,591.0
885.0,32,541.0,11.76086956521739,2.742930033762131,32,608.0,0.0529615469048732,32,608.0
890.0,26,474.0,9.875,3.7094759190284243,26,626.0,0.15230817342864778,26,626.0
895.0,31,555.0,12.613636363636363,2.452064680633457,31,637.0,0.05407935915351439,31,637.0
900.0,24,374.0,7.791666666666667,3.136517292086921,24,687.0,0.08393473864825052,24,687.0
905.0,21,273.0,5.6875,5.2518200261211945,21,590.0,0.21989762498524493,21,590.0
910.0,13,220.0,4.4,5.979014180735706,13,554.0,0.2624720467967577,13,554.0
915.0,17,237.0,5.1521739130434785,4.663160389246392,17,539.0,0.2175973895302703,17,539.0
920.0,17,257.0,5.711111111111111,4.2759673376481215,17,556.0,0.22568281653004135,17,556.0
