step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.477906817698292,0,0.0,0.9256361666726396,0,0.0
10.0,0,0.0,0.0,11.954857382080084,0,0.0,0.889813679650988,0,0.0
15.0,3,5.0,0.2777777777777778,5.142023216168858,3,5.0,0.3758333507653911,3,5.0
20.0,8,45.0,2.5,6.954294110154917,8,45.0,0.3910580072401503,8,45.0
25.0,11,72.0,3.0,5.725464745172876,11,72.0,0.3205487720096615,11,72.0
30.0,12,132.0,6.285714285714286,5.038645414203192,12,132.0,0.2674416697745291,12,132.0
35.0,14,196.0,8.166666666666666,3.416951705736628,14,196.0,0.1833880487713408,14,196.0
40.0,16,232.0,8.285714285714286,4.084010949041792,16,232.0,0.2934672905521503,16,232.0
45.0,15,260.0,8.125,5.726589525284949,15,270.0,0.34919217867735963,15,270.0
50.0,16,340.0,10.0,3.9266246107143465,16,340.0,0.14064580995824,16,340.0
55.0,22,444.0,12.333333333333334,4.634429851595572,22,444.0,0.1812186226349289,22,444.0
60.0,20,464.0,14.5,2.3958643006143863,20,464.0,0.030912914652179883,20,464.0
65.0,16,191.0,5.617647058823529,4.278179313254858,16,385.0,0.22319942990104327,16,385.0
70.0,8,73.0,2.1470588235294117,3.9049118986573403,8,439.0,0.14759539654402556,8,439.0
75.0,14,110.0,2.558139534883721,5.236125472424121,14,495.0,0.3354000741955507,14,495.0
80.0,18,138.0,3.45,3.3729967366709688,18,523.0,0.24821818547480068,18,523.0
85.0,22,176.0,3.8260869565217392,3.601705201450485,22,577.0,0.21441489633084185,22,577.0
90.0,34,320.0,6.956521739130435,1.7544606137706846,34,721.0,0.051332045878405154,34,721.0
95.0,38,504.0,10.285714285714286,2.1428053007144285,38,905.0,0.08258952722753628,38,905.0
100.0,40,641.0,13.354166666666666,1.124704823802724,40,966.0,0.043741419681599475,40,966.0
105.0,32,539.0,11.0,2.1887499918533018,32,1024.0,0.08908040201179294,32,1024.0
110.0,28,433.0,7.732142857142857,3.9651276457403113,28,854.0,0.1755114283838344,28,854.0
115.0,20,317.0,5.87037037037037,4.33575546793182,20,902.0,0.21521779317451034,20,902.0
120.0,10,164.0,3.28,4.346092578296028,10,916.0,0.2190819499054678,10,916.0
125.0,19,225.0,4.5,3.155275340745103,19,848.0,0.13877064012737797,19,848.0
130.0,20,255.0,4.903846153846154,3.3574962931775665,20,850.0,0.13678880764692336,20,850.0
135.0,18,287.0,5.519230769230769,2.2246166609823654,18,906.0,0.09447634245268166,18,906.0
140.0,24,347.0,6.803921568627451,2.3179247317545375,24,978.0,0.08533057571668438,24,978.0
145.0,24,451.0,8.053571428571429,3.2357286715953157,24,1090.0,0.17420410497291072,24,1090.0
150.0,32,600.0,10.344827586206897,2.62894205889578,32,1239.0,0.1576708084935672,32,1239.0
155.0,40,784.0,13.517241379310345,1.1825909761376108,40,1423.0,0.07096865032954748,40,1423.0
160.0,53,874.0,15.068965517241379,0.5625910153665451,53,1513.0,0.038847195615937566,53,1513.0
165.0,44,786.0,13.551724137931034,1.6331150315953742,44,1604.0,0.07446051980216312,44,1604.0
170.0,46,990.0,16.5,2.087843257087712,46,1731.0,0.05442690125492803,46,1731.0
175.0,50,1229.0,21.56140350877193,1.554080572889283,50,1970.0,0.03695517721215943,50,1970.0
180.0,50,1460.0,27.037037037037038,0.46472922187180277,50,2125.0,1.6040139933488914e-06,50,2125.0
185.0,46,1661.0,27.683333333333334,2.512378532784333,46,2327.0,0.11872853131215022,46,2327.0
190.0,45,1810.0,31.20689655172414,2.0740337790657084,45,2463.0,0.07940618438710442,45,2463.0
195.0,40,1876.0,32.91228070175438,2.1039787076694294,40,2607.0,0.07895267409156362,40,2607.0
200.0,43,2088.0,37.96363636363636,2.692099776235945,43,2741.0,0.04197123355772568,43,2741.0
205.0,44,2304.0,41.142857142857146,2.4943122353394713,44,2957.0,0.049791958222050674,44,2957.0
210.0,45,2528.0,50.56,1.2603649385502325,45,3181.0,0.038755598468227556,45,3181.0
215.0,45,2753.0,58.57446808510638,0.3178179629944534,45,3406.0,0.02373786223834403,45,3406.0
220.0,47,2983.0,54.236363636363635,2.0019602221572947,47,3636.0,0.1382918135129388,47,3636.0
225.0,45,3178.0,57.78181818181818,1.8506603430448703,45,3831.0,0.1281539054001765,45,3831.0
230.0,47,3387.0,59.421052631578945,1.5333901843056135,47,4040.0,0.03897602873611281,47,4040.0
235.0,49,3631.0,63.70175438596491,1.753919336369648,49,4284.0,0.036047621470725474,49,4284.0
240.0,47,3658.0,67.74074074074075,0.978309798696206,47,4229.0,0.019544445201789273,47,4229.0
245.0,39,2811.0,53.0377358490566,1.8108904044742662,39,4147.0,0.08067557424089206,39,4147.0
250.0,31,2043.0,38.54716981132076,2.60917387072105,31,3905.0,0.08837717733085312,31,3905.0
255.0,22,897.0,16.017857142857142,3.6758243821716734,22,3914.0,0.19382902068278887,22,3914.0
260.0,20,199.0,3.7547169811320753,4.125046970493795,20,3875.0,0.18353020803185027,20,3875.0
265.0,24,244.0,4.4363636363636365,3.100582297052576,24,3920.0,0.12152891449383195,24,3920.0
270.0,36,399.0,7.673076923076923,1.7396579086966852,36,4075.0,0.05283662410446469,36,4075.0
275.0,42,583.0,11.211538461538462,0.8092303873074685,42,4259.0,0.011426241138648223,42,4259.0
280.0,46,790.0,15.192307692307692,1.2720448203082986,46,4466.0,0.039827264830193734,46,4466.0
285.0,46,1020.0,19.615384615384617,1.3747936618407752,46,4696.0,0.0313909191367242,46,4696.0
290.0,48,1253.0,21.23728813559322,2.44943595555501,48,4929.0,0.13628725231093736,48,4929.0
295.0,46,1401.0,25.017857142857142,1.7967134500646584,46,4807.0,0.13054954263496535,46,4807.0
300.0,38,1177.0,21.017857142857142,2.030089179385546,38,4303.0,0.09144623393428096,38,4303.0
305.0,36,1033.0,17.810344827586206,3.6502123737138485,36,3797.0,0.1274510224969521,36,3797.0
310.0,26,789.0,14.089285714285714,3.048700218525189,26,3935.0,0.10654231609557588,26,3935.0
315.0,26,627.0,12.057692307692308,2.551309208209374,26,4065.0,0.12532244502044645,26,4065.0
320.0,30,621.0,11.942307692307692,1.6544834037504026,30,4059.0,0.08794563743799243,30,4059.0
325.0,28,311.0,5.362068965517241,2.6854463077274886,28,4070.0,0.14734856931242538,28,4070.0
330.0,34,424.0,6.838709677419355,3.810335539992207,34,3951.0,0.15942764424089173,34,3951.0
335.0,38,551.0,8.887096774193548,2.5465410794020484,38,3752.0,0.06500897866221217,38,3752.0
340.0,41,521.0,8.830508474576272,2.428836800724492,41,3224.0,0.06504125919510444,41,3224.0
345.0,34,499.0,8.910714285714286,2.2161530980397353,34,3406.0,0.07388536507911905,34,3406.0
350.0,34,514.0,9.345454545454546,1.7130512905858015,34,3575.0,0.08557840986824519,34,3575.0
355.0,32,534.0,10.26923076923077,1.0812843116869921,32,3735.0,0.08432885148291953,32,3735.0
